*blank-answer--------   5321 #001    N  10001     2     D DDEDEAAABDEBDABAEECDBBCDCAEDDDBDAAEEAABBCEDBDEACEEDCCDDEBD
-blank-school--------   5321 #001    N  1 002     2     CEBCCCEBBCEEAECCEBCAAAABBEAEDBCEEDEBEDBEEBEEBDBCECDDAACBEEEA
-blank-student-------   5321 #001    N  100 3     2     DEBBAAADBBBAAADACDDEEEDBCCDBBACABECADBAEAEECDBCDEAABBEDEBDDC
?blank-test----------   5321 #001    N  10004           CEADEBBBCACABABDCAECABCAEECABEBBBABDADEDEDACADEBADCCCCCCCBAD
*improper-school-----   5321 #001    N  01005     2     CBBDDCAADCDDEDCCDDADDDDCEDCDCDBBCEEAAAEAECACDEBEDCBECAADAECE
*improper-student----   5321 #001    N  10016     2     AADCEECDDBBACCADDDEEBBAAABDCACEBCAADAECCAADABCBEBBBBDBCCBDEA
*improper-test-------   5321 #001    N  10007     7     BCDEAEBCDBECDBBECEDABBBDDEEBDCAADBBDEBBADDDBDEECBBCACDBADBDD
-1-student-3+tests---   5321 #001    N  10008     2     ACCCAAAAADADABAACBEADCCBBCAAAAAAEBBEEDBAAAEDBDABCBBECDEBEEED
-1-student-3+tests---   5321 #001    N  10008     4     EDDACBAACDBABCAAEEEACBCDCCECAADDACCADCDDAABCCBACDEEBEEDCCBBA
720000006001020918001   5321 #001    N  10010     2     ACBCBAADCEEACEBECDABEBCCBADCCBDADAEDBCECBDEEECEADABEABCBBCCC
-1-student-same-test-   5321 #001    N  10011     2     ABDBEBACCDABEDDCCBCBDBDCABABBCECBDACECBEEDAEBDBDCECDADAADCCE
720000006001020918001   5321 #001    N  10012     2     CAEBBDCEBEEADDDDBBBDCEDCEDBDEEBACAEDDDEBBDACBCEBDCBDAACBAEAC
-lost-student--------   5321 #001    N  10601     1     DCBBBEECAAAADEDBECABAECBDABDBBCBBEECEBEABAAAEDDDBDEEBDBEDBBEBEECEDACDBCADCECDDDCAEEEEBBACEAAAABBDCAB
720000006001020918001   5321 #001    N  10002     1     EABEBDDDCABDEBCABBDCBEECADBABBEBBDEACCECCEBBAAABEDAECEAEEEBDABDCDCEEEDBEAEBEAEDCDEAEECCECDBABCDCDACA
-lost-test@10009-----   5321 #001    N  10003     1     ECCBEEDDDBEBBDADBBCCCAEABCEECEBEDBCCDCCADBCBEBCBECAACCAAEACDAACBDACBAAAADDABDEDCBECCEBEEEACCDBBECBBE
720000006001020918001   5321 #001    N  10004     1     EEAEEDCDACEECEABEDDDBDAEAECBECDBABCCAAECCDEBEEEEAABCABEDBBBCEAAEEAADABDEECDDEBCABEDECEEEEECBCEDEEECB
720000006001020918001   5321 #001    N  10005     1     BCDCBDECACEDCEDAAECCACADBBBCDEBCAAAAABAACAEAEAEEECDBAEBEEECDCACCBAEAACDBDBDDCABEDBCABBCEBCAAAEEBECAD
720000006001020918001   5321 #001    N  10006     1     CEBAEADEEBBBBCCDACACEECEBDBCBDDCEBDECEECBCEAACDCDDACECAEEDEBABADDADBDABEBCDEACBCCAEBCDCBCADDEACAEEDA
720000006001020918001   5321 #001    N  10007     1     BDEECEBEBEDDAAEBABDBCEDAADEDEBCDABACDBEADDACDCDAECEEAADDBCDDDDDBABCBEADCABEEBADDDCADCDDDEBECDEAAAAAB
-1-student-3+tests---   5321 #001    N  10008     1     EAEBACBCACDDDAEBCEECBECBCCABCEEAAEECECBAECADDCBAAEDAADABDBDBDBDECEAAECCABEBCBDCADEDDCECBBBECDECCDAEC
720000006001020918001   5321 #001    N  10009     1     ADDCBBEDDBDEDAAADDEDEDBBAAECBBADABACBBBCDCACBCABCDEDEEDDBDDBDEDBABCBADCEABCDEDEEADCBEEDBBBCEEBAABAEC
720000006001020918001   5321 #001    N  10010     1     CEBEEECDEABCCCDEECAADBADCECCAADEDEDEDBAEAEEBEDBDAEAEDACECDCCAABCADBEDEECCCBDAEEABEDEADAACEDAABEDECCC
-1-student-same-test-   5321 #001    N  10011     2     DACEECCCDECCDDDAACBEEAEDBEEDBCABEBCABEECDDCDDDBDACCECADDCADEAABEBDBEABADAEDBBCDBEDBDDCDBBCABEBDACECB
720000006001020918001   5321 #001    N  10012     1     BDBDCCBCBDAEAADEBAABBDAEEABBDDBDBEDBBDEECDCAADBEABCBAADABDDAACEBADEADCABABEDABBEECDBBDBCBEBBCCBBDCDD
720000006001020918001   5321 #001    N  10101     2     CDCABABDEDADCBADEEEBDADDAAECAAAACEABACBEDABCBDBAAAEEEABAEADA
720000006001020918001   5321 #001    N  10102     2     ACEEEEBABDAEEEABCDBECCECADEDBCDDDCDCDCECAABDEEDAECCCEBEBBBEE
720000006001020918001   5321 #001    N  10103     2     CCCABEACBACDDCDEABBBABBBDAAECEEBDCDEAABDBEEDDEDDABBAEBCBECCE
720000006001020918001   5321 #001    N  10104     2     AEEDBCAEBCEBEEAEBEABEBDDEDCDDCACCEABCBDDEBCECCACAEADDEADBDAB
720000006001020918001   5321 #001    N  10105     2     DBDADDEAACEBEECDABDDEBCEACCAADADBBAEDEBBCABAADBEEEBBCDBEBECD
02-03-06-100-100-100-   5321 #001    N  10106     2     CAACBBCBEBECECBEBEDDBEEDEAADAEBAEEADCCDEDBAEDDEBAAABDDECBDEE
chem-chem-8-2-9-22-bi   5321 #001    N  10107     2     DEDEAEECBCADABCACBEADBCBBAEDCDDAECABADADCAAEBABCEDACCDEEAEEB
12-1-100-------------   5321 #001    N  10108     2     CCAECEECDCBECDEDAAEBCDAADDECCCBCDCBEAADAEDAEDBDCCAAADABBBDED
720000006001020918001   5321 #001    N  10109     2     AACAAEDDBDADABAEBAAAEBCDCBDBDBBBBCDABADDCEDCBDBDCBAEDBBADCCC
720000006001020918001   5321 #001    N  10110     2     BAEBDDDCCBABADAACCCEABACABEDDABBABAADBCCBACADBEABCEDCEECAEDD
720000006001020918001   5321 #001    N  10111     2     BBADCAAADEADDABBCCDECEACADABDDCABBAEBBACCBEDEDCDEBEBBECBEBEE
720000006001020918001   5321 #001    N  10112     2     BEABBCBECACDABEEBDAECDBCDDCBDCBDAECEADBDDABBBDADDABDBABEEBCD
720000006001020918001   5321 #001    N  10101     3     ADCAEAAAACCAAEBACDBCDCEDDEACBECBDADCAADC
720000006001020918001   5321 #001    N  10102     3     DCCDDAADBAADACDCEAAABACEECAADAEBCEEDBBAE
720000006001020918001   5321 #001    N  10103     3     BDACDCACEECCCCDECDDEECABADBABCBCDBECBAED
720000006001020918001   5321 #001    N  10104     3     EDCEDAABCADECBABAACDDAECDBACACCECCADDADD
720000006001020918001   5321 #001    N  10105     3     BDDCCCACBBAEADEECBDBEAEDEDBEEBEBDCDACCBE
720000006001020918001   5321 #001    N  10106     3     ABEBCAEEABCCEBEBACEBACBBDCEDBEDBCBCEEBAC
720000006001020918001   5321 #001    N  10107     3     ACEADCDAAADDAADAEBCDADCEADDAAEACEDABEBAB
720000006001020918001   5321 #001    N  10108     3     ECDEBADDBDCACEEAEEDDCBDBBECACEDDAEEADBAC
720000006001020918001   5321 #001    N  10109     3     ECEDCCEBAACEBABEEACBABDDDACBBCDBCEACCBDE
720000006001020918001   5321 #001    N  10110     3     DEEDDADEDAECEEAAABCAEBBABDECAACDDEEEAEED
720000006001020918001   5321 #001    N  10111     3     DBBAABBBCBABBADBCAAAAEAADCBAEBECCEEECCDB
720000006001020918001   5321 #001    N  10112     3     CCDCEDADBBDCBAADECAAECCABBCEEEADDABACCAC
720000006001020918001   5321 #001    N  10201     2     EEEEEDACACEEBDCCADDCDBABCCCABBACEDDEDDBBDCCABEDDACCBAEDAEABE
720000006001020918001   5321 #001    N  10202     2     CBECDDECCDBDDAEAEDCABCBECCDCBBAADDACDAABEAABCCAECCBEECDDDABD
720000006001020918001   5321 #001    N  10203     2     ACECCEADAEEBDCAEEDDACEDCDEAABDCEDCECABEEADCBCCECBBEECEDEAAAB
720000006001020918001   5321 #001    N  10204     2     BDDBDCBDEEBBCBADACEBCCAEEAECDDCEBDAACACECBDAEDCBDBEBCAEBBBBC
720000006001020918001   5321 #001    N  10205     2     DCDDAAAEDEECCEABCCBCBDECACCDABEECDBDDDDCBEECECADADCEAEBDBCAE
720000006001020918001   5321 #001    N  10206     2     ADAADBEEDAEBDDCBBAECCCCAAEEBDCABBADCEDDAECDBADEDADCABDCBABDC
720000006001020918001   5321 #001    N  10207     2     BADEDCABBECBEBBCDCEAAADEBEADACAAADCEECBBDDECBDECEDBDADECACEB
720000006001020918001   5321 #001    N  10208     2     DBBEEBCCDDBCCECDDCAEEAECCAECACCABDBADBDDCEADEEABEBDBDECDDBEB
720000006001020918001   5321 #001    N  10209     2     DAEBEEDCCCDBAEBADACDDADBDBEDABCCEBEACBDDBBCDBEECDEDECCABECED
720000006001020918001   5321 #001    N  10210     2     EDAABBCDEBAEEAECCBDDECBBDCACCBDDDBBACEEABEBEDAEDEAEACCBDCAEE
720000006001020918001   5321 #001    N  10211     2     AEACDEBCADCCBEEDAEAACACEEBEAEDDBDDCEADBEAEBDBBBCAABCDDDCDBAA
720000006001020918001   5321 #001    N  10212     2     CDBBAAEBEBCEEACDBDCEDBBBBBECCBCDEDBBDAAEBEDBDECCCEBBCBADACDC
720000006001020918001   5321 #001    N  10201     4     CBABBAEBCBDCBAADBBBBBECBEECADACEBADBBEACCBCDECCAEDDECEDBDEAC
720000006001020918001   5321 #001    N  10202     4     ECDEDDDDABECABEECAAACADDBBBCEEDEBEEDCADCBABECAABCDBEECDADECA
720000006001020918001   5321 #001    N  10203     4     ECCDEECEEEEBDCDDDDEABBABBAEBCEBEADBACEEDAABEDCADABDAACEBAAAD
720000006001020918001   5321 #001    N  10204     4     CECACACAEADDAABDBACEBCDCCCACAEDDDEEEDEBBAADCEBDCEBEBACBDBEDC
720000006001020918001   5321 #001    N  10205     4     AECBDABADDABBDECDBADDCBBEBCDCADCACEACDDCBBECBACCCABAEDACACEE
720000006001020918001   5321 #001    N  10206     4     DCDEDEAACDAEEDADDACBCDDBDBACECADDECABBBCBBBDAAEACADBCBAADECE
720000006001020918001   5321 #001    N  10207     4     BAEEACBEDADCBCEBACBECDDBDEDEEABECBCCBCDBBBCDCDEADCCAABDDBAEC
720000006001020918001   5321 #001    N  10208     4     EBABCDDEDAEDBEADDDCCCECCEBABEAACDCCABBCDADEEDCCCABDEBCDABBEA
720000006001020918001   5321 #001    N  10209     4     EEACDDDCADBBCEDCBAEEBBDEADBDEAECABBBCABCCBAACDADBDCBEBBCDEAD
720000006001020918001   5321 #001    N  10210     4     BADABDCECACEEBAAEBCADDEECCEBCACADADACADAEBABAEADEDEACBBCCBAE
720000006001020918001   5321 #001    N  10211     4     BDCCCBDCDAACBEACDAAEBCEEDADCCDDDCDAABCDADBADEABBCBBBDCBDECAB
720000006001020918001   5321 #001    N  10212     4     BBBEBBBECCADBDABCDBCAADEEADEEDCACCCDCDACEACBDDDDBDDEABDCCBBC
